"Protein Group","Uniprot Accession","Gene Symbol","Protein Description","ProteinProphet Probability","SVM Classification","SVM Probability","TMT 130/129 +/- SD","Log2 TMT 130/129","TMT 131/129 +/- SD","Log2 TMT 131/129","Unique Peptides","Coverage (%)"
153,"P82933","MRPS9","28S ribosomal protein S9; mitochondrial ",1,"Non-Exosome","0.782"," 0.248 +/- 0.058","-2.014","0.132 +/- 0.052","-2.916",2,6.6
154,"P82979","SARNP","SAP domain-containing ribonucleoprotein ",1,"Non-Exosome","0.585"," 0.305 +/- 0.045","-1.713","0.060 +/- 0.000","-4.059",1,11.3
155,"P83731","RPL24","60S ribosomal protein L24 ",1,"Non-Exosome","0.859"," 0.350 +/- 0.025","-1.515","0.160 +/- 0.028","-2.647",4,39.7
156,"P84103","SRSF3","Serine/arginine-rich splicing factor 3 ",1,"Non-Exosome","0.927"," 0.413 +/- 0.017","-1.275","0.334 +/- 0.096","-1.582",2,41.1
157,"P99999","CYCS","Cytochrome c ",1,"Non-Exosome","0.928"," 0.547 +/- 0.000","-0.871","0.325 +/- 0.085","-1.621",2,18.8
158,"Q01130","SRSF2","Serine/arginine-rich splicing factor 2 ",1,"Non-Exosome","0.753"," 0.275 +/- 0.002","-1.862","0.112 +/- 0.025","-3.163",1,11.3
159,"Q03252","LMNB2","Lamin-B2 ",1,"Non-Exosome","0.857"," 0.383 +/- 0.077","-1.383","0.155 +/- 0.055","-2.690",4,10.2
160,"Q04323-2","UBXN1","Isoform 2 of UBX domain-containing protein 1 ",1,"Non-Exosome","0.908"," 0.700 +/- 0.010","-0.515","0.395 +/- 0.035","-1.340",2,10.7
161,"Q04760-2","GLO1","Isoform 2 of Lactoylglutathione lyase ",1,"Non-Exosome","0.919"," 0.635 +/- 0.082","-0.656","0.369 +/- 0.004","-1.438",3,24.3
162,"Q06830","PRDX1","Peroxiredoxin-1 ",1,"Non-Exosome","0.923"," 0.508 +/- 0.010","-0.978","0.263 +/- 0.001","-1.927",13,61.3
163,"Q12765-2","SCRN1","Isoform 2 of Secernin-1 ",1,"Non-Exosome","0.929"," 0.462 +/- 0.022","-1.112","0.315 +/- 0.105","-1.667",2,15
164,"Q13131-2","PRKAA1","Isoform 2 of 5'-AMP-activated protein kinase catalytic subunit alpha-1 ",1,"Non-Exosome","0.922"," 0.562 +/- 0.152","-0.832","0.407 +/- 0.277","-1.298",2,3.6
165,"Q13151","HNRNPA0","Heterogeneous nuclear ribonucleoprotein A0 ",1,"Non-Exosome","0.717"," 0.226 +/- 0.024","-2.148","0.108 +/- 0.024","-3.211",3,7.2
166,"Q13217","DNAJC3","DnaJ homolog subfamily C member 3 ",1,"Non-Exosome","0.631"," 0.245 +/- 0.065","-2.029","0.075 +/- 0.005","-3.737",2,4
167,"Q13641","TPBG","Trophoblast glycoprotein ",1,"Non-Exosome","0.847"," 0.834 +/- 0.056","-0.263","0.524 +/- 0.102","-0.933",4,9.3
168,"Q13753-2","LAMC2","Isoform Short of Laminin subunit gamma-2 ",1,"Non-Exosome","0.917"," 0.652 +/- 0.312","-0.618","0.368 +/- 0.148","-1.441",3,3.9
169,"Q14116-2","IL18","Isoform 2 of Interleukin-18 ",1,"Non-Exosome","0.853"," 0.518 +/- 0.028","-0.950","0.155 +/- 0.075","-2.690",1,8.5
170,"Q14126","DSG2","Desmoglein-2 ",1,"Non-Exosome","0.628"," 1.081 +/- 0.444"," 0.112","0.734 +/- 0.316","-0.446",4,8.6
171,"Q14166","TTLL12","Tubulin--tyrosine ligase-like protein 12 ",1,"Non-Exosome","0.928"," 0.502 +/- 0.042","-0.993","0.290 +/- 0.050","-1.786",3,5.4
172,"Q14258","TRIM25","E3 ubiquitin/ISG15 ligase TRIM25 ",1,"Non-Exosome","0.885"," 0.395 +/- 0.020","-1.340","0.181 +/- 0.026","-2.467",4,13.5
173,"Q14332","FZD2","Frizzled-2 ",1,"Exosome","0.666"," 1.442 +/- 0.722"," 0.529","0.965 +/- 0.275","-0.051",2,4.1
174,"Q14566","MCM6","DNA replication licensing factor MCM6 ",1,"Non-Exosome","0.923"," 0.525 +/- 0.125","-0.930","0.263 +/- 0.013","-1.925",4,5.4
175,"Q14696","MESDC2","LDLR chaperone MESD ",1,"Non-Exosome","0.825"," 0.250 +/- 0.060","-2.000","0.162 +/- 0.052","-2.621",3,11.5
176,"Q15050","RRS1","Ribosome biogenesis regulatory protein homolog ",1,"Non-Exosome","0.915"," 0.355 +/- 0.085","-1.494","0.378 +/- 0.002","-1.405",2,14.2
177,"Q15056-2","EIF4H","Isoform Short of Eukaryotic translation initiation factor 4H ",1,"Non-Exosome","0.718"," 0.823 +/- 0.363","-0.281","0.780 +/- 0.250","-0.358",2,18
178,"Q15269","PWP2","Periodic tryptophan protein 2 homolog ",1,"Non-Exosome","0.794"," 0.328 +/- 0.132","-1.610","0.122 +/- 0.008","-3.029",2,9.1
179,"Q15388","TOMM20","Mitochondrial import receptor subunit TOM20 homolog ",1,"Non-Exosome","0.905"," 0.695 +/- 0.005","-0.525","0.265 +/- 0.085","-1.916",1,13.8
180,"Q15785","TOMM34","Mitochondrial import receptor subunit TOM34 ",1,"Non-Exosome","0.917"," 0.440 +/- 0.010","-1.184","0.235 +/- 0.021","-2.091",3,19.1
181,"Q16629-2","SRSF7","Isoform 2 of Serine/arginine-rich splicing factor 7 ",1,"Non-Exosome","0.929"," 0.512 +/- 0.076","-0.966","0.330 +/- 0.020","-1.599",4,33.3
182,"Q16790","CA9","Carbonic anhydrase 9 ",1,"Exosome","0.869"," 2.117 +/- 0.115"," 1.082","2.613 +/- 1.089"," 1.386",3,15.9
183,"Q16836-2","HADH","Isoform 2 of Hydroxyacyl-coenzyme A dehydrogenase; mitochondrial ",1,"Non-Exosome","0.908"," 0.464 +/- 0.011","-1.107","0.212 +/- 0.038","-2.234",2,5.1
184,"Q4KMQ2-2","ANO6","Isoform 2 of Anoctamin-6 ",1,"Non-Exosome","0.815"," 0.913 +/- 0.117","-0.131","0.540 +/- 0.110","-0.889",3,3.4
185,"Q53GA4","PHLDA2","Pleckstrin homology-like domain family A member 2 ",1,"Non-Exosome","0.890"," 0.710 +/- 0.190","-0.494","0.480 +/- 0.020","-1.059",1,10.5
186,"Q658P3-2","STEAP3","Isoform 2 of Metalloreductase STEAP3 ",1,"Non-Exosome","0.912"," 0.615 +/- 0.255","-0.701","0.442 +/- 0.192","-1.176",2,6.1
187,"Q6L8Q7-2","PDE12","Isoform 2 of 2';5'-phosphodiesterase 12 ",1,"Non-Exosome","0.755"," 1.320 +/- 0.450"," 0.401","0.350 +/- 0.250","-1.515",2,6.6
188,"Q6UVK1","CSPG4","Chondroitin sulfate proteoglycan 4 ",1,"Non-Exosome","0.578"," 1.298 +/- 0.628"," 0.376","0.665 +/- 0.355","-0.589",2,0.8
189,"Q6UXH8-3","CCBE1","Isoform 3 of Collagen and calcium-binding EGF domain-containing protein 1 ",1,"Exosome","0.687"," 1.762 +/- 0.562"," 0.818","0.845 +/- 0.070","-0.243",2,43.5
190,"Q7Z2Z2-2","EFTUD1","Isoform 2 of Elongation factor Tu GTP-binding domain-containing protein 1 ",1,"Non-Exosome","0.840"," 0.398 +/- 0.142","-1.331","0.142 +/- 0.018","-2.811",3,2.2
191,"Q7Z5G4-3","GOLGA7","Isoform 2 of Golgin subfamily A member 7 ",1,"Exosome","0.667"," 1.674 +/- 0.194"," 0.743","0.848 +/- 0.308","-0.237",3,25.4
192,"Q8IVF2-3","AHNAK2","Isoform 3 of Protein AHNAK2 ",1,"Non-Exosome","0.924"," 0.589 +/- 0.049","-0.764","0.371 +/- 0.021","-1.430",4,5
193,"Q8IXT5","RBM12B","RNA-binding protein 12B ",1,"Exosome","0.742"," 1.535 +/- 1.355"," 0.618","1.090 +/- 1.060"," 0.124",2,4.2
194,"Q8IZW8","TNS4","Tensin-4 ",1,"Non-Exosome","0.768"," 0.825 +/- 0.065","-0.278","0.692 +/- 0.078","-0.530",2,3.1
195,"Q8N1G4","LRRC47","Leucine-rich repeat-containing protein 47 ",1,"Non-Exosome","0.921"," 0.608 +/- 0.142","-0.718","0.377 +/- 0.062","-1.408",5,12.3
196,"Q8N5N7","MRPL50","39S ribosomal protein L50; mitochondrial ",1,"Non-Exosome","0.887"," 0.290 +/- 0.040","-1.786","0.225 +/- 0.075","-2.152",2,17.8
197,"Q8NBF2","NHLRC2","NHL repeat-containing protein 2 ",1,"Non-Exosome","0.923"," 0.556 +/- 0.094","-0.846","0.279 +/- 0.011","-1.843",2,2.8
198,"Q8NBX0","SCCPDH","Saccharopine dehydrogenase-like oxidoreductase ",1,"Non-Exosome","0.917"," 0.388 +/- 0.088","-1.365","0.248 +/- 0.022","-2.014",3,6.8
199,"Q8TAA9-2","VANGL1","Isoform 2 of Vang-like protein 1 ",1,"Non-Exosome","0.823"," 0.695 +/- 0.125","-0.525","0.670 +/- 0.100","-0.578",2,9.8
200,"Q8TB36-2","GDAP1","Isoform 2 of Ganglioside-induced differentiation-associated protein 1 ",1,"Non-Exosome","0.920"," 0.405 +/- 0.045","-1.304","0.410 +/- 0.010","-1.286",1,9
201,"Q8TB61-2","SLC35B2","Isoform 2 of Adenosine 3'-phospho 5'-phosphosulfate transporter 1 ",1,"Non-Exosome","0.927"," 0.415 +/- 0.205","-1.269","0.305 +/- 0.115","-1.713",1,3.7
202,"Q8TCJ2","STT3B","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B ",1,"Non-Exosome","0.890"," 0.804 +/- 0.217","-0.315","0.390 +/- 0.077","-1.358",5,11.3
203,"Q8TF42","UBASH3B","Ubiquitin-associated and SH3 domain-containing protein B ",1,"Non-Exosome","0.845"," 0.795 +/- 0.405","-0.331","0.555 +/- 0.155","-0.849",2,4.8
204,"Q8WUY1","THEM6","Protein THEM6 ",1,"Non-Exosome","0.923"," 0.595 +/- 0.225","-0.749","0.305 +/- 0.095","-1.713",2,7.2
205,"Q8WV24","PHLDA1","Pleckstrin homology-like domain family A member 1 ",1,"Non-Exosome","0.814"," 0.795 +/- 0.005","-0.331","0.625 +/- 0.095","-0.678",1,3.5
206,"Q8WV92","MITD1","MIT domain-containing protein 1 ",1,"Non-Exosome","0.508"," 0.869 +/- 0.136","-0.202","1.111 +/- 0.144"," 0.152",2,10.2
207,"Q92538","GBF1","Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 ",1,"Non-Exosome","0.916"," 0.455 +/- 0.075","-1.136","0.232 +/- 0.048","-2.105",2,0.9
208,"Q92544","TM9SF4","Transmembrane 9 superfamily member 4 ",1,"Non-Exosome","0.787"," 0.828 +/- 0.035","-0.273","0.656 +/- 0.197","-0.609",4,8.6
209,"Q92616","GCN1L1","Translational activator GCN1 ",1,"Non-Exosome","0.929"," 0.509 +/- 0.048","-0.974","0.312 +/- 0.020","-1.679",21,11.5
210,"Q92665","MRPS31","28S ribosomal protein S31; mitochondrial ",1,"Non-Exosome","0.909"," 0.552 +/- 0.132","-0.856","0.225 +/- 0.095","-2.152",2,5.8
211,"Q92685-2","ALG3","Isoform 2 of Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1;3-mannosyltransferase ",1,"Non-Exosome","0.924"," 0.445 +/- 0.025","-1.168","0.262 +/- 0.002","-1.930",2,6.2
212,"Q93008-1","USP9X","Isoform 2 of Probable ubiquitin carboxyl-terminal hydrolase FAF-X ",1,"Non-Exosome","0.760"," 1.110 +/- 0.200"," 0.151","0.510 +/- 0.260","-0.971",3,3.5
213,"Q969E2-2","SCAMP4","Isoform 2 of Secretory carrier-associated membrane protein 4 ",1,"Non-Exosome","0.638"," 0.940 +/- 0.100","-0.089","0.822 +/- 0.072","-0.282",1,9.7
214,"Q969P0-3","IGSF8","Isoform 3 of Immunoglobulin superfamily member 8 ",1,"Exosome","0.669"," 1.391 +/- 0.104"," 0.476","1.005 +/- 0.073"," 0.007",6,32.2
215,"Q969X1","TMBIM1","Protein lifeguard 3 ",1,"Non-Exosome","0.734"," 1.035 +/- 0.305"," 0.050","0.605 +/- 0.225","-0.725",2,14.2
216,"Q969X5-2","ERGIC1","Isoform 2 of Endoplasmic reticulum-Golgi intermediate compartment protein 1 ",1,"Non-Exosome","0.921"," 0.621 +/- 0.129","-0.687","0.317 +/- 0.017","-1.659",3,20.2
217,"Q96AG4","LRRC59","Leucine-rich repeat-containing protein 59 ",1,"Non-Exosome","0.860"," 0.273 +/- 0.015","-1.873","0.188 +/- 0.068","-2.415",6,25.7
218,"Q96B49","TOMM6","Mitochondrial import receptor subunit TOM6 homolog ",1,"Non-Exosome","0.918"," 0.468 +/- 0.248","-1.094","0.448 +/- 0.048","-1.157",1,18.9
219,"Q96G21","IMP4","U3 small nucleolar ribonucleoprotein protein IMP4 ",1,"Non-Exosome","0.908"," 0.675 +/- 0.235","-0.567","0.265 +/- 0.055","-1.916",2,14
220,"Q96IX5","USMG5","Up-regulated during skeletal muscle growth protein 5 ",1,"Non-Exosome","0.916"," 0.667 +/- 0.037","-0.585","0.350 +/- 0.033","-1.515",2,43.1
221,"Q96KA5-2","CLPTM1L","Isoform 2 of Cleft lip and palate transmembrane protein 1-like protein ",1,"Non-Exosome","0.885"," 0.300 +/- 0.100","-1.737","0.210 +/- 0.020","-2.252",2,15.2
222,"Q96QK1","VPS35","Vacuolar protein sorting-associated protein 35 ",1,"Non-Exosome","0.922"," 0.619 +/- 0.023","-0.691","0.315 +/- 0.075","-1.667",5,7.3
223,"Q96RQ1","ERGIC2","Endoplasmic reticulum-Golgi intermediate compartment protein 2 ",1,"Non-Exosome","0.916"," 0.465 +/- 0.205","-1.105","0.460 +/- 0.060","-1.120",2,14.5
224,"Q96RS6-2","NUDCD1","Isoform 2 of NudC domain-containing protein 1 ",1,"Non-Exosome","0.829"," 0.515 +/- 0.135","-0.957","0.737 +/- 0.337","-0.441",2,11.3
225,"Q99436","PSMB7","Proteasome subunit beta type-7 ",1,"Non-Exosome","0.877"," 0.855 +/- 0.055","-0.226","0.270 +/- 0.050","-1.889",1,4
226,"Q99459","CDC5L","Cell division cycle 5-like protein ",1,"Non-Exosome","0.922"," 0.462 +/- 0.178","-1.112","0.425 +/- 0.345","-1.234",2,4.6
227,"Q99643-3","SDHC","Isoform 3 of Succinate dehydrogenase cytochrome b560 subunit; mitochondrial ",1,"Non-Exosome","0.924"," 0.475 +/- 0.175","-1.074","0.412 +/- 0.052","-1.278",2,18.1
228,"Q99747","NAPG","Gamma-soluble NSF attachment protein ",1,"Non-Exosome","0.605"," 0.990 +/- 0.660","-0.014","0.830 +/- 0.540","-0.269",2,10.9
229,"Q99798","ACO2","Aconitate hydratase; mitochondrial ",1,"Non-Exosome","0.928"," 0.517 +/- 0.141","-0.953","0.372 +/- 0.010","-1.428",7,17.2
230,"Q99808","SLC29A1","Equilibrative nucleoside transporter 1 ",1,"Exosome","0.838"," 1.691 +/- 0.581"," 0.758","1.494 +/- 0.780"," 0.579",3,6.6
231,"Q99848","EBNA1BP2","Probable rRNA-processing protein EBP2 ",1,"Non-Exosome","0.819"," 0.312 +/- 0.138","-1.678","0.138 +/- 0.012","-2.862",2,6.9
232,"Q99959-2","PKP2","Isoform 1 of Plakophilin-2 ",1,"Exosome","0.565"," 1.475 +/- 0.135"," 0.561","0.766 +/- 0.076","-0.384",4,5.9
233,"Q9BR76","CORO1B","Coronin-1B ",1,"Exosome","0.524"," 1.584 +/- 0.341"," 0.664","0.660 +/- 0.160","-0.599",2,4.1
234,"Q9BTV4","TMEM43","Transmembrane protein 43 ",1,"Non-Exosome","0.917"," 0.630 +/- 0.186","-0.666","0.399 +/- 0.110","-1.326",8,28
235,"Q9BVC6","TMEM109","Transmembrane protein 109 ",1,"Non-Exosome","0.855"," 0.358 +/- 0.078","-1.482","0.156 +/- 0.013","-2.684",2,13.2
236,"Q9BVK2-2","ALG8","Isoform 2 of Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1;3-glucosyltransferase ",1,"Non-Exosome","0.571"," 0.272 +/- 0.032","-1.876","0.058 +/- 0.018","-4.120",2,19.5
237,"Q9BVK6","TMED9","Transmembrane emp24 domain-containing protein 9 ",1,"Non-Exosome","0.878"," 0.456 +/- 0.050","-1.132","0.172 +/- 0.058","-2.542",2,11.5
238,"Q9BVP2-2","GNL3","Isoform 2 of Guanine nucleotide-binding protein-like 3 ",1,"Non-Exosome","0.911"," 0.337 +/- 0.083","-1.571","0.264 +/- 0.070","-1.923",6,12.1
239,"Q9BWT7","CARD10","Caspase recruitment domain-containing protein 10 ",1,"Exosome","0.881"," 3.420 +/- 0.545"," 1.774","2.188 +/- 0.202"," 1.129",2,4.4
240,"Q9BZJ0-2","CRNKL1","Isoform 2 of Crooked neck-like protein 1 ",1,"Non-Exosome","0.909"," 0.337 +/- 0.107","-1.571","0.250 +/- 0.040","-2.000",2,4.8
241,"Q9C0B5-2","ZDHHC5","Isoform 2 of Palmitoyltransferase ZDHHC5 ",1,"Non-Exosome","0.877"," 0.825 +/- 0.345","-0.278","0.250 +/- 0.100","-2.000",1,12
242,"Q9H223","EHD4","EH domain-containing protein 4 ",1,"Non-Exosome","0.828"," 1.010 +/- 0.138"," 0.014","0.432 +/- 0.087","-1.211",6,18.7
243,"Q9H267","VPS33B","Vacuolar protein sorting-associated protein 33B ",1,"Non-Exosome","0.762"," 0.585 +/- 0.145","-0.773","0.115 +/- 0.015","-3.120",2,4.8
244,"Q9H2H9","SLC38A1","Sodium-coupled neutral amino acid transporter 1 ",1,"Non-Exosome","0.792"," 0.858 +/- 0.024","-0.220","0.624 +/- 0.070","-0.679",2,4.9
245,"Q9H3Z4-2","DNAJC5","Isoform 2 of DnaJ homolog subfamily C member 5 ",1,"Non-Exosome","0.830"," 0.765 +/- 0.425","-0.386","0.610 +/- 0.320","-0.713",2,18.6
246,"Q9H553-2","ALG2","Isoform 2 of Alpha-1;3/1;6-mannosyltransferase ALG2 ",1,"Non-Exosome","0.928"," 0.525 +/- 0.255","-0.930","0.350 +/- 0.030","-1.515",2,8.4
247,"Q9H5Q4","TFB2M","Dimethyladenosine transferase 2; mitochondrial ",1,"Non-Exosome","0.920"," 0.360 +/- 0.035","-1.474","0.328 +/- 0.092","-1.610",2,9.1
248,"Q9H867-1","VCPKMT","Isoform 1 of Protein-lysine methyltransferase METTL21D ",1,"Non-Exosome","0.752"," 1.125 +/- 0.145"," 0.170","0.515 +/- 0.145","-0.957",1,5.7
249,"Q9H8M2-1","BRD9","Isoform 5 of Bromodomain-containing protein 9 ",1,"Exosome","0.874"," 2.784 +/- 0.384"," 1.477","1.535 +/- 0.025"," 0.618",1,3
250,"Q9HCG8","CWC22","Pre-mRNA-splicing factor CWC22 homolog ",1,"Non-Exosome","0.721"," 1.103 +/- 0.822"," 0.141","0.152 +/- 0.048","-2.713",2,2.3
251,"Q9HCS7","XAB2","Pre-mRNA-splicing factor SYF1 ",1,"Non-Exosome","0.898"," 0.400 +/- 0.190","-1.322","0.198 +/- 0.022","-2.340",2,3.3
252,"Q9HD45","TM9SF3","Transmembrane 9 superfamily member 3 ",1,"Non-Exosome","0.895"," 0.332 +/- 0.018","-1.589","0.210 +/- 0.050","-2.252",3,15
253,"Q9NR12-2","PDLIM7","Isoform 2 of PDZ and LIM domain protein 7 ",1,"Non-Exosome","0.913"," 0.563 +/- 0.177","-0.828","0.460 +/- 0.130","-1.120",2,12.4
254,"Q9NRX2","MRPL17","39S ribosomal protein L17; mitochondrial ",1,"Non-Exosome","0.915"," 0.622 +/- 0.048","-0.684","0.268 +/- 0.038","-1.902",2,10.6
255,"Q9NRX5","SERINC1","Serine incorporator 1 ",1,"Non-Exosome","0.852"," 0.716 +/- 0.356","-0.482","0.589 +/- 0.219","-0.763",3,11.3
256,"Q9NY12-2","GAR1","Isoform 2 of H/ACA ribonucleoprotein complex subunit 1 ",1,"Non-Exosome","0.810"," 0.368 +/- 0.088","-1.444","0.128 +/- 0.028","-2.971",2,8
257,"Q9NYK5-2","MRPL39","Isoform 2 of 39S ribosomal protein L39; mitochondrial ",1,"Non-Exosome","0.898"," 0.333 +/- 0.077","-1.585","0.217 +/- 0.023","-2.206",2,6.1
258,"Q9NZ45","CISD1","CDGSH iron-sulfur domain-containing protein 1 ",1,"Non-Exosome","0.841"," 0.302 +/- 0.105","-1.727","0.154 +/- 0.029","-2.697",2,25.9
259,"Q9P2B2","PTGFRN","Prostaglandin F2 receptor negative regulator ",1,"Exosome","0.878"," 2.510 +/- 0.051"," 1.328","1.626 +/- 0.253"," 0.702",14,22.2
260,"Q9UGP8","SEC63","Translocation protein SEC63 homolog ",1,"Non-Exosome","1.000"," 0.546 +/- 0.187","-0.873","0.250 +/- 0.103","-2.000",7,16.3
261,"Q9UGT4","SUSD2","Sushi domain-containing protein 2 ",1,"Non-Exosome","0.745"," 1.159 +/- 0.350"," 0.213","0.504 +/- 0.103","-0.988",6,18.1
262,"Q9UIQ6-2","LNPEP","Isoform 2 of Leucyl-cystinyl aminopeptidase ",1,"Non-Exosome","0.897"," 0.711 +/- 0.011","-0.492","0.248 +/- 0.046","-2.012",6,8.5
263,"Q9UKD2","MRTO4","mRNA turnover protein 4 homolog ",1,"Non-Exosome","0.786"," 0.238 +/- 0.118","-2.069","0.138 +/- 0.038","-2.854",3,18.4
264,"Q9UKK3","PARP4","Poly [ADP-ribose] polymerase 4 ",1,"Non-Exosome","0.535"," 2.535 +/- 2.085"," 1.342","0.252 +/- 0.202","-1.986",2,1.8
265,"Q9UKK9","NUDT5","ADP-sugar pyrophosphatase ",1,"Non-Exosome","0.919"," 0.565 +/- 0.005","-0.824","0.261 +/- 0.056","-1.939",2,17.5
266,"Q9ULC3","RAB23","Ras-related protein Rab-23 ",1,"Non-Exosome","0.874"," 0.658 +/- 0.372","-0.605","0.565 +/- 0.325","-0.824",1,8
267,"Q9ULC4-2","MCTS1","Isoform 2 of Malignant T-cell-amplified sequence 1 ",1,"Non-Exosome","0.897"," 0.628 +/- 0.142","-0.670","0.218 +/- 0.042","-2.195",3,17.2
268,"Q9UM54-1","MYO6","Isoform 1 of Unconventional myosin-VI ",1,"Non-Exosome","0.890"," 0.595 +/- 0.215","-0.749","0.545 +/- 0.195","-0.876",4,3.4
269,"Q9Y2A7-2","NCKAP1","Isoform 2 of Nck-associated protein 1 ",1,"Non-Exosome","0.818"," 1.016 +/- 0.104"," 0.022","0.454 +/- 0.001","-1.139",7,7.5
270,"Q9Y2S6","TMA7","Translation machinery-associated protein 7 ",1,"Exosome","0.603"," 1.565 +/- 0.315"," 0.646","0.782 +/- 0.302","-0.354",1,25
271,"Q9Y2S7","POLDIP2","Polymerase delta-interacting protein 2 ",1,"Non-Exosome","0.926"," 0.505 +/- 0.265","-0.986","0.393 +/- 0.013","-1.346",2,9
272,"Q9Y2Z0-2","SUGT1","Isoform 2 of Suppressor of G2 allele of SKP1 homolog ",1,"Non-Exosome","0.924"," 0.588 +/- 0.292","-0.767","0.300 +/- 0.050","-1.737",2,10.5
273,"Q9Y376","CAB39","Calcium-binding protein 39 ",1,"Exosome","0.737"," 1.416 +/- 0.144"," 0.502","1.166 +/- 0.254"," 0.222",4,10.9
274,"Q9Y3E5","PTRH2","Peptidyl-tRNA hydrolase 2; mitochondrial ",1,"Non-Exosome","0.883"," 0.290 +/- 0.140","-1.786","0.430 +/- 0.190","-1.218",1,23.5
275,"Q9Y3T9","NOC2L","Nucleolar complex protein 2 homolog ",1,"Non-Exosome","0.896"," 0.398 +/- 0.032","-1.331","0.195 +/- 0.095","-2.358",3,6.3
276,"Q9Y5K6","CD2AP","CD2-associated protein ",1,"Exosome","0.859"," 2.136 +/- 0.327"," 1.095","1.406 +/- 0.080"," 0.491",13,23.5
277,"Q9Y5S9-2","RBM8A","Isoform 2 of RNA-binding protein 8A ",1,"Non-Exosome","0.898"," 0.559 +/- 0.166","-0.839","0.528 +/- 0.118","-0.920",3,26.6
278,"Q9Y5X1","SNX9","Sorting nexin-9 ",1,"Non-Exosome","0.901"," 0.753 +/- 0.053","-0.409","0.383 +/- 0.053","-1.383",3,6.7
279,"Q9Y617-2","PSAT1","Isoform 2 of Phosphoserine aminotransferase ",1,"Non-Exosome","0.820"," 0.858 +/- 0.102","-0.220","0.568 +/- 0.145","-0.815",3,12.3
280,"Q9Y6K0","CEPT1","Choline/ethanolaminephosphotransferase 1 ",1,"Non-Exosome","0.517"," 0.953 +/- 0.553","-0.069","1.005 +/- 0.845"," 0.007",1,2.6
281,"A0AVT1","UBA6","Ubiquitin-like modifier-activating enzyme 6 ",1,"Non-Exosome","0.929"," 0.505 +/- 0.158","-0.986","0.330 +/- 0.020","-1.599",4,5
282,"A0FGR8-2","ESYT2","Isoform 2 of Extended synaptotagmin-2 ",1,"Non-Exosome","0.866"," 0.905 +/- 0.280","-0.144","0.398 +/- 0.058","-1.331",4,11.8
283,"A5YKK6-2","CNOT1","Isoform 2 of CCR4-NOT transcription complex subunit 1 ",1,"Exosome","0.734"," 1.535 +/- 0.725"," 0.618","1.067 +/- 0.997"," 0.093",3,3
284,"A6NCE7","MAP1LC3B2","Microtubule-associated proteins 1A/1B light chain 3 beta 2 ",1,"Exosome","0.683"," 1.690 +/- 0.160"," 0.757","0.865 +/- 0.085","-0.209",1,18.7
285,"P19440-2","GGT1","Isoform 2 of Gamma-glutamyltranspeptidase 1 ",0.0101,"Exosome","0.820"," 2.045 +/- 0.345"," 1.032","1.145 +/- 0.175"," 0.195",2,0
286,"E7ET76","GGT1","Gamma-glutamyltranspeptidase 1 light chain (Fragment) ",0.0152,"Exosome","0.620"," 1.476 +/- 0.129"," 0.562","0.854 +/- 0.039","-0.227",3,0
287,"A6NGU5","GGT3P","Putative gamma-glutamyltranspeptidase 3 ",1,"Exosome","0.514"," 1.359 +/- 0.246"," 0.443","0.754 +/- 0.061","-0.406",4,7.3
288,"E9PAV3-2","NACA","Isoform 2 of Nascent polypeptide-associated complex subunit alpha; muscle-specific form ",1,"Non-Exosome","0.922"," 0.584 +/- 0.254","-0.776","0.284 +/- 0.048","-1.819",3,30.9
289,"O00116","AGPS","Alkyldihydroxyacetonephosphate synthase; peroxisomal ",1,"Non-Exosome","0.785"," 1.132 +/- 0.505"," 0.179","0.218 +/- 0.021","-2.197",6,11.2
290,"O00139-1","KIF2A","Isoform 1 of Kinesin-like protein KIF2A ",1,"Non-Exosome","0.902"," 0.315 +/- 0.065","-1.667","0.390 +/- 0.110","-1.358",2,2.7
291,"O00159-2","MYO1C","Isoform 2 of Unconventional myosin-Ic ",1,"Non-Exosome","0.850"," 0.980 +/- 0.165","-0.029","0.374 +/- 0.081","-1.419",15,21.1
292,"O43795-2","MYO1B","Isoform 2 of Unconventional myosin-Ib ",1,"Non-Exosome","0.530"," 1.385 +/- 0.279"," 0.470","0.681 +/- 0.302","-0.553",8,10.3
293,"Q70J99-3","UNC13D","Isoform 3 of Protein unc-13 homolog D ",1,"Non-Exosome","0.740"," 0.792 +/- 0.218","-0.336","0.765 +/- 0.225","-0.386",3,5.6
294,"O00161-2","SNAP23","Isoform SNAP-23b of Synaptosomal-associated protein 23 ",1,"Non-Exosome","0.672"," 1.140 +/- 0.390"," 0.189","0.630 +/- 0.090","-0.667",1,10.8
295,"O00170","AIP","AH receptor-interacting protein ",1,"Non-Exosome","0.769"," 0.235 +/- 0.095","-2.089","0.130 +/- 0.030","-2.943",1,8.8
296,"O00203-3","AP3B1","Isoform 2 of AP-3 complex subunit beta-1 ",1,"Non-Exosome","0.926"," 0.428 +/- 0.118","-1.223","0.372 +/- 0.068","-1.428",4,5.7
297,"O00231-2","PSMD11","Isoform 2 of 26S proteasome non-ATPase regulatory subunit 11 ",1,"Non-Exosome","0.910"," 0.693 +/- 0.139","-0.530","0.391 +/- 0.069","-1.356",10,30.8
