"Uniprot Accession","Protein Description","Gene Symbol","Protein Group","TMT 130/129 +/- SD","Log2 TMT 130/129","TMT 131/129 +/- SD","Log2 TMT 131/129","SVM Classification","SVM Probability"
"Q14166","Tubulin--tyrosine ligase-like protein 12 ","TTLL12",171," 0.502 +/- 0.042","-0.993","0.290 +/- 0.050","-1.786","Non-Exosome","0.927"
"Q14258","E3 ubiquitin/ISG15 ligase TRIM25 ","TRIM25",172," 0.395 +/- 0.020","-1.340","0.181 +/- 0.026","-2.467","Non-Exosome","0.885"
"Q14332","Frizzled-2 ","FZD2",173," 1.442 +/- 0.722"," 0.529","0.965 +/- 0.275","-0.051","Exosome","0.666"
"Q14566","DNA replication licensing factor MCM6 ","MCM6",174," 0.525 +/- 0.125","-0.930","0.263 +/- 0.013","-1.925","Non-Exosome","0.922"
"Q14696","LDLR chaperone MESD ","MESDC2",175," 0.250 +/- 0.060","-2.000","0.162 +/- 0.052","-2.621","Non-Exosome","0.825"
"Q15050","Ribosome biogenesis regulatory protein homolog ","RRS1",176," 0.355 +/- 0.085","-1.494","0.378 +/- 0.002","-1.405","Non-Exosome","0.915"
"Q15056-2","Isoform Short of Eukaryotic translation initiation factor 4H ","EIF4H",177," 0.823 +/- 0.363","-0.281","0.780 +/- 0.250","-0.358","Non-Exosome","0.717"
"Q15269","Periodic tryptophan protein 2 homolog ","PWP2",178," 0.328 +/- 0.132","-1.610","0.122 +/- 0.008","-3.029","Non-Exosome","0.793"
"Q15388","Mitochondrial import receptor subunit TOM20 homolog ","TOMM20",179," 0.695 +/- 0.005","-0.525","0.265 +/- 0.085","-1.916","Non-Exosome","0.904"
"Q15785","Mitochondrial import receptor subunit TOM34 ","TOMM34",180," 0.440 +/- 0.010","-1.184","0.235 +/- 0.021","-2.091","Non-Exosome","0.916"
"Q16629-2","Isoform 2 of Serine/arginine-rich splicing factor 7 ","SRSF7",181," 0.512 +/- 0.076","-0.966","0.330 +/- 0.020","-1.599","Non-Exosome","0.929"
"Q16790","Carbonic anhydrase 9 ","CA9",182," 2.117 +/- 0.115"," 1.082","2.613 +/- 1.089"," 1.386","Exosome","0.869"
"Q16836-2","Isoform 2 of Hydroxyacyl-coenzyme A dehydrogenase; mitochondrial ","HADH",183," 0.464 +/- 0.011","-1.107","0.212 +/- 0.038","-2.234","Non-Exosome","0.907"
"Q4KMQ2-2","Isoform 2 of Anoctamin-6 ","ANO6",184," 0.913 +/- 0.117","-0.131","0.540 +/- 0.110","-0.889","Non-Exosome","0.815"
"Q53GA4","Pleckstrin homology-like domain family A member 2 ","PHLDA2",185," 0.710 +/- 0.190","-0.494","0.480 +/- 0.020","-1.059","Non-Exosome","0.889"
"Q658P3-2","Isoform 2 of Metalloreductase STEAP3 ","STEAP3",186," 0.615 +/- 0.255","-0.701","0.442 +/- 0.192","-1.176","Non-Exosome","0.911"
"Q6L8Q7-2","Isoform 2 of 2';5'-phosphodiesterase 12 ","PDE12",187," 1.320 +/- 0.450"," 0.401","0.350 +/- 0.250","-1.515","Non-Exosome","0.754"
"Q6UVK1","Chondroitin sulfate proteoglycan 4 ","CSPG4",188," 1.298 +/- 0.628"," 0.376","0.665 +/- 0.355","-0.589","Non-Exosome","0.577"
"Q6UXH8-3","Isoform 3 of Collagen and calcium-binding EGF domain-containing protein 1 ","CCBE1",189," 1.762 +/- 0.562"," 0.818","0.845 +/- 0.070","-0.243","Exosome","0.687"
"Q7Z2Z2-2","Isoform 2 of Elongation factor Tu GTP-binding domain-containing protein 1 ","EFTUD1",190," 0.398 +/- 0.142","-1.331","0.142 +/- 0.018","-2.811","Non-Exosome","0.839"
"Q7Z5G4-3","Isoform 2 of Golgin subfamily A member 7 ","GOLGA7",191," 1.674 +/- 0.194"," 0.743","0.848 +/- 0.308","-0.237","Exosome","0.668"
"Q8IVF2-3","Isoform 3 of Protein AHNAK2 ","AHNAK2",192," 0.589 +/- 0.049","-0.764","0.371 +/- 0.021","-1.430","Non-Exosome","0.923"
"Q8IXT5","RNA-binding protein 12B ","RBM12B",193," 1.535 +/- 1.355"," 0.618","1.090 +/- 1.060"," 0.124","Exosome","0.742"
"Q8IZW8","Tensin-4 ","TNS4",194," 0.825 +/- 0.065","-0.278","0.692 +/- 0.078","-0.530","Non-Exosome","0.767"
"Q8N1G4","Leucine-rich repeat-containing protein 47 ","LRRC47",195," 0.608 +/- 0.142","-0.718","0.377 +/- 0.062","-1.408","Non-Exosome","0.921"
"Q8N5N7","39S ribosomal protein L50; mitochondrial ","MRPL50",196," 0.290 +/- 0.040","-1.786","0.225 +/- 0.075","-2.152","Non-Exosome","0.887"
"Q8NBF2","NHL repeat-containing protein 2 ","NHLRC2",197," 0.556 +/- 0.094","-0.846","0.279 +/- 0.011","-1.843","Non-Exosome","0.923"
"Q8NBX0","Saccharopine dehydrogenase-like oxidoreductase ","SCCPDH",198," 0.388 +/- 0.088","-1.365","0.248 +/- 0.022","-2.014","Non-Exosome","0.916"
"Q8TAA9-2","Isoform 2 of Vang-like protein 1 ","VANGL1",199," 0.695 +/- 0.125","-0.525","0.670 +/- 0.100","-0.578","Non-Exosome","0.822"
"Q8TB36-2","Isoform 2 of Ganglioside-induced differentiation-associated protein 1 ","GDAP1",200," 0.405 +/- 0.045","-1.304","0.410 +/- 0.010","-1.286","Non-Exosome","0.919"
"Q8TB61-2","Isoform 2 of Adenosine 3'-phospho 5'-phosphosulfate transporter 1 ","SLC35B2",201," 0.415 +/- 0.205","-1.269","0.305 +/- 0.115","-1.713","Non-Exosome","0.926"
"Q8TCJ2","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B ","STT3B",202," 0.804 +/- 0.217","-0.315","0.390 +/- 0.077","-1.358","Non-Exosome","0.889"
"Q8TF42","Ubiquitin-associated and SH3 domain-containing protein B ","UBASH3B",203," 0.795 +/- 0.405","-0.331","0.555 +/- 0.155","-0.849","Non-Exosome","0.845"
"Q8WUY1","Protein THEM6 ","THEM6",204," 0.595 +/- 0.225","-0.749","0.305 +/- 0.095","-1.713","Non-Exosome","0.923"
"Q8WV24","Pleckstrin homology-like domain family A member 1 ","PHLDA1",205," 0.795 +/- 0.005","-0.331","0.625 +/- 0.095","-0.678","Non-Exosome","0.813"
"Q8WV92","MIT domain-containing protein 1 ","MITD1",206," 0.869 +/- 0.136","-0.202","1.111 +/- 0.144"," 0.152","Non-Exosome","0.507"
"Q92538","Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 ","GBF1",207," 0.455 +/- 0.075","-1.136","0.232 +/- 0.048","-2.105","Non-Exosome","0.915"
"Q92544","Transmembrane 9 superfamily member 4 ","TM9SF4",208," 0.828 +/- 0.035","-0.273","0.656 +/- 0.197","-0.609","Non-Exosome","0.786"
"Q92616","Translational activator GCN1 ","GCN1L1",209," 0.509 +/- 0.048","-0.974","0.312 +/- 0.020","-1.679","Non-Exosome","0.928"
"Q92665","28S ribosomal protein S31; mitochondrial ","MRPS31",210," 0.552 +/- 0.132","-0.856","0.225 +/- 0.095","-2.152","Non-Exosome","0.908"
"Q92685-2","Isoform 2 of Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1;3-mannosyltransferase ","ALG3",211," 0.445 +/- 0.025","-1.168","0.262 +/- 0.002","-1.930","Non-Exosome","0.923"
"Q93008-1","Isoform 2 of Probable ubiquitin carboxyl-terminal hydrolase FAF-X ","USP9X",212," 1.110 +/- 0.200"," 0.151","0.510 +/- 0.260","-0.971","Non-Exosome","0.759"
"Q969E2-2","Isoform 2 of Secretory carrier-associated membrane protein 4 ","SCAMP4",213," 0.940 +/- 0.100","-0.089","0.822 +/- 0.072","-0.282","Non-Exosome","0.637"
"Q969P0-3","Isoform 3 of Immunoglobulin superfamily member 8 ","IGSF8",214," 1.391 +/- 0.104"," 0.476","1.005 +/- 0.073"," 0.007","Exosome","0.669"
"Q969X1","Protein lifeguard 3 ","TMBIM1",215," 1.035 +/- 0.305"," 0.050","0.605 +/- 0.225","-0.725","Non-Exosome","0.733"
"Q969X5-2","Isoform 2 of Endoplasmic reticulum-Golgi intermediate compartment protein 1 ","ERGIC1",216," 0.621 +/- 0.129","-0.687","0.317 +/- 0.017","-1.659","Non-Exosome","0.921"
"Q96AG4","Leucine-rich repeat-containing protein 59 ","LRRC59",217," 0.273 +/- 0.015","-1.873","0.188 +/- 0.068","-2.415","Non-Exosome","0.860"
"Q96B49","Mitochondrial import receptor subunit TOM6 homolog ","TOMM6",218," 0.468 +/- 0.248","-1.094","0.448 +/- 0.048","-1.157","Non-Exosome","0.917"
"Q96G21","U3 small nucleolar ribonucleoprotein protein IMP4 ","IMP4",219," 0.675 +/- 0.235","-0.567","0.265 +/- 0.055","-1.916","Non-Exosome","0.907"
"Q96IX5","Up-regulated during skeletal muscle growth protein 5 ","USMG5",220," 0.667 +/- 0.037","-0.585","0.350 +/- 0.033","-1.515","Non-Exosome","0.916"
"Q96KA5-2","Isoform 2 of Cleft lip and palate transmembrane protein 1-like protein ","CLPTM1L",221," 0.300 +/- 0.100","-1.737","0.210 +/- 0.020","-2.252","Non-Exosome","0.884"
"Q96QK1","Vacuolar protein sorting-associated protein 35 ","VPS35",222," 0.619 +/- 0.023","-0.691","0.315 +/- 0.075","-1.667","Non-Exosome","0.921"
"Q96RQ1","Endoplasmic reticulum-Golgi intermediate compartment protein 2 ","ERGIC2",223," 0.465 +/- 0.205","-1.105","0.460 +/- 0.060","-1.120","Non-Exosome","0.915"
"Q96RS6-2","Isoform 2 of NudC domain-containing protein 1 ","NUDCD1",224," 0.515 +/- 0.135","-0.957","0.737 +/- 0.337","-0.441","Non-Exosome","0.828"
"Q99436","Proteasome subunit beta type-7 ","PSMB7",225," 0.855 +/- 0.055","-0.226","0.270 +/- 0.050","-1.889","Non-Exosome","0.876"
"Q99459","Cell division cycle 5-like protein ","CDC5L",226," 0.462 +/- 0.178","-1.112","0.425 +/- 0.345","-1.234","Non-Exosome","0.921"
"Q99643-3","Isoform 3 of Succinate dehydrogenase cytochrome b560 subunit; mitochondrial ","SDHC",227," 0.475 +/- 0.175","-1.074","0.412 +/- 0.052","-1.278","Non-Exosome","0.923"
"Q99747","Gamma-soluble NSF attachment protein ","NAPG",228," 0.990 +/- 0.660","-0.014","0.830 +/- 0.540","-0.269","Non-Exosome","0.605"
"Q99798","Aconitate hydratase; mitochondrial ","ACO2",229," 0.517 +/- 0.141","-0.953","0.372 +/- 0.010","-1.428","Non-Exosome","0.927"
"Q99808","Equilibrative nucleoside transporter 1 ","SLC29A1",230," 1.691 +/- 0.581"," 0.758","1.494 +/- 0.780"," 0.579","Exosome","0.837"
"Q99848","Probable rRNA-processing protein EBP2 ","EBNA1BP2",231," 0.312 +/- 0.138","-1.678","0.138 +/- 0.012","-2.862","Non-Exosome","0.818"
"Q99959-2","Isoform 1 of Plakophilin-2 ","PKP2",232," 1.475 +/- 0.135"," 0.561","0.766 +/- 0.076","-0.384","Exosome","0.565"
"Q9BR76","Coronin-1B ","CORO1B",233," 1.584 +/- 0.341"," 0.664","0.660 +/- 0.160","-0.599","Exosome","0.524"
"Q9BTV4","Transmembrane protein 43 ","TMEM43",234," 0.630 +/- 0.186","-0.666","0.399 +/- 0.110","-1.326","Non-Exosome","0.916"
"Q9BVC6","Transmembrane protein 109 ","TMEM109",235," 0.358 +/- 0.078","-1.482","0.156 +/- 0.013","-2.684","Non-Exosome","0.855"
"Q9BVK2-2","Isoform 2 of Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1;3-glucosyltransferase ","ALG8",236," 0.272 +/- 0.032","-1.876","0.058 +/- 0.018","-4.120","Non-Exosome","0.571"
"Q9BVK6","Transmembrane emp24 domain-containing protein 9 ","TMED9",237," 0.456 +/- 0.050","-1.132","0.172 +/- 0.058","-2.542","Non-Exosome","0.877"
"Q9BVP2-2","Isoform 2 of Guanine nucleotide-binding protein-like 3 ","GNL3",238," 0.337 +/- 0.083","-1.571","0.264 +/- 0.070","-1.923","Non-Exosome","0.911"
"Q9BWT7","Caspase recruitment domain-containing protein 10 ","CARD10",239," 3.420 +/- 0.545"," 1.774","2.188 +/- 0.202"," 1.129","Exosome","0.880"
"Q9BZJ0-2","Isoform 2 of Crooked neck-like protein 1 ","CRNKL1",240," 0.337 +/- 0.107","-1.571","0.250 +/- 0.040","-2.000","Non-Exosome","0.908"
"Q9C0B5-2","Isoform 2 of Palmitoyltransferase ZDHHC5 ","ZDHHC5",241," 0.825 +/- 0.345","-0.278","0.250 +/- 0.100","-2.000","Non-Exosome","0.876"
"Q9H223","EH domain-containing protein 4 ","EHD4",242," 1.010 +/- 0.138"," 0.014","0.432 +/- 0.087","-1.211","Non-Exosome","0.827"
"Q9H267","Vacuolar protein sorting-associated protein 33B ","VPS33B",243," 0.585 +/- 0.145","-0.773","0.115 +/- 0.015","-3.120","Non-Exosome","0.761"
"Q9H2H9","Sodium-coupled neutral amino acid transporter 1 ","SLC38A1",244," 0.858 +/- 0.024","-0.220","0.624 +/- 0.070","-0.679","Non-Exosome","0.792"
"Q9H3Z4-2","Isoform 2 of DnaJ homolog subfamily C member 5 ","DNAJC5",245," 0.765 +/- 0.425","-0.386","0.610 +/- 0.320","-0.713","Non-Exosome","0.829"
"Q9H553-2","Isoform 2 of Alpha-1;3/1;6-mannosyltransferase ALG2 ","ALG2",246," 0.525 +/- 0.255","-0.930","0.350 +/- 0.030","-1.515","Non-Exosome","0.928"
"Q9H5Q4","Dimethyladenosine transferase 2; mitochondrial ","TFB2M",247," 0.360 +/- 0.035","-1.474","0.328 +/- 0.092","-1.610","Non-Exosome","0.919"
"Q9H867-1","Isoform 1 of Protein-lysine methyltransferase METTL21D ","VCPKMT",248," 1.125 +/- 0.145"," 0.170","0.515 +/- 0.145","-0.957","Non-Exosome","0.751"
"Q9H8M2-1","Isoform 5 of Bromodomain-containing protein 9 ","BRD9",249," 2.784 +/- 0.384"," 1.477","1.535 +/- 0.025"," 0.618","Exosome","0.874"
"Q9HCG8","Pre-mRNA-splicing factor CWC22 homolog ","CWC22",250," 1.103 +/- 0.822"," 0.141","0.152 +/- 0.048","-2.713","Non-Exosome","0.720"
"Q9HCS7","Pre-mRNA-splicing factor SYF1 ","XAB2",251," 0.400 +/- 0.190","-1.322","0.198 +/- 0.022","-2.340","Non-Exosome","0.897"
"Q9HD45","Transmembrane 9 superfamily member 3 ","TM9SF3",252," 0.332 +/- 0.018","-1.589","0.210 +/- 0.050","-2.252","Non-Exosome","0.894"
"Q9NR12-2","Isoform 2 of PDZ and LIM domain protein 7 ","PDLIM7",253," 0.563 +/- 0.177","-0.828","0.460 +/- 0.130","-1.120","Non-Exosome","0.913"
"Q9NRX2","39S ribosomal protein L17; mitochondrial ","MRPL17",254," 0.622 +/- 0.048","-0.684","0.268 +/- 0.038","-1.902","Non-Exosome","0.915"
"Q9NRX5","Serine incorporator 1 ","SERINC1",255," 0.716 +/- 0.356","-0.482","0.589 +/- 0.219","-0.763","Non-Exosome","0.852"
"Q9NY12-2","Isoform 2 of H/ACA ribonucleoprotein complex subunit 1 ","GAR1",256," 0.368 +/- 0.088","-1.444","0.128 +/- 0.028","-2.971","Non-Exosome","0.809"
"Q9NYK5-2","Isoform 2 of 39S ribosomal protein L39; mitochondrial ","MRPL39",257," 0.333 +/- 0.077","-1.585","0.217 +/- 0.023","-2.206","Non-Exosome","0.897"
"Q9NZ45","CDGSH iron-sulfur domain-containing protein 1 ","CISD1",258," 0.302 +/- 0.105","-1.727","0.154 +/- 0.029","-2.697","Non-Exosome","0.840"
"Q9P2B2","Prostaglandin F2 receptor negative regulator ","PTGFRN",259," 2.510 +/- 0.051"," 1.328","1.626 +/- 0.253"," 0.702","Exosome","0.878"
"Q9UGP8","Translocation protein SEC63 homolog ","SEC63",260," 0.546 +/- 0.187","-0.873","0.250 +/- 0.103","-2.000","Non-Exosome","1.000"
"Q9UGT4","Sushi domain-containing protein 2 ","SUSD2",261," 1.159 +/- 0.350"," 0.213","0.504 +/- 0.103","-0.988","Non-Exosome","0.744"
"Q9UIQ6-2","Isoform 2 of Leucyl-cystinyl aminopeptidase ","LNPEP",262," 0.711 +/- 0.011","-0.492","0.248 +/- 0.046","-2.012","Non-Exosome","0.897"
"Q9UKD2","mRNA turnover protein 4 homolog ","MRTO4",263," 0.238 +/- 0.118","-2.069","0.138 +/- 0.038","-2.854","Non-Exosome","0.785"
"Q9UKK3","Poly [ADP-ribose] polymerase 4 ","PARP4",264," 2.535 +/- 2.085"," 1.342","0.252 +/- 0.202","-1.986","Non-Exosome","0.535"
"Q9UKK9","ADP-sugar pyrophosphatase ","NUDT5",265," 0.565 +/- 0.005","-0.824","0.261 +/- 0.056","-1.939","Non-Exosome","0.919"
"Q9ULC3","Ras-related protein Rab-23 ","RAB23",266," 0.658 +/- 0.372","-0.605","0.565 +/- 0.325","-0.824","Non-Exosome","0.873"
"Q9ULC4-2","Isoform 2 of Malignant T-cell-amplified sequence 1 ","MCTS1",267," 0.628 +/- 0.142","-0.670","0.218 +/- 0.042","-2.195","Non-Exosome","0.896"
"Q9UM54-1","Isoform 1 of Unconventional myosin-VI ","MYO6",268," 0.595 +/- 0.215","-0.749","0.545 +/- 0.195","-0.876","Non-Exosome","0.889"
"Q9Y2A7-2","Isoform 2 of Nck-associated protein 1 ","NCKAP1",269," 1.016 +/- 0.104"," 0.022","0.454 +/- 0.001","-1.139","Non-Exosome","0.818"
"Q9Y2S6","Translation machinery-associated protein 7 ","TMA7",270," 1.565 +/- 0.315"," 0.646","0.782 +/- 0.302","-0.354","Exosome","0.604"
"Q9Y2S7","Polymerase delta-interacting protein 2 ","POLDIP2",271," 0.505 +/- 0.265","-0.986","0.393 +/- 0.013","-1.346","Non-Exosome","0.925"
"Q9Y2Z0-2","Isoform 2 of Suppressor of G2 allele of SKP1 homolog ","SUGT1",272," 0.588 +/- 0.292","-0.767","0.300 +/- 0.050","-1.737","Non-Exosome","0.923"
"Q9Y376","Calcium-binding protein 39 ","CAB39",273," 1.416 +/- 0.144"," 0.502","1.166 +/- 0.254"," 0.222","Exosome","0.737"
"Q9Y3E5","Peptidyl-tRNA hydrolase 2; mitochondrial ","PTRH2",274," 0.290 +/- 0.140","-1.786","0.430 +/- 0.190","-1.218","Non-Exosome","0.882"
"Q9Y3T9","Nucleolar complex protein 2 homolog ","NOC2L",275," 0.398 +/- 0.032","-1.331","0.195 +/- 0.095","-2.358","Non-Exosome","0.895"
"Q9Y5K6","CD2-associated protein ","CD2AP",276," 2.136 +/- 0.327"," 1.095","1.406 +/- 0.080"," 0.491","Exosome","0.858"
"Q9Y5S9-2","Isoform 2 of RNA-binding protein 8A ","RBM8A",277," 0.559 +/- 0.166","-0.839","0.528 +/- 0.118","-0.920","Non-Exosome","0.897"
"Q9Y5X1","Sorting nexin-9 ","SNX9",278," 0.753 +/- 0.053","-0.409","0.383 +/- 0.053","-1.383","Non-Exosome","0.900"
"Q9Y617-2","Isoform 2 of Phosphoserine aminotransferase ","PSAT1",279," 0.858 +/- 0.102","-0.220","0.568 +/- 0.145","-0.815","Non-Exosome","0.820"
"Q9Y6K0","Choline/ethanolaminephosphotransferase 1 ","CEPT1",280," 0.953 +/- 0.553","-0.069","1.005 +/- 0.845"," 0.007","Non-Exosome","0.516"
"A0AVT1","Ubiquitin-like modifier-activating enzyme 6 ","UBA6",281," 0.505 +/- 0.158","-0.986","0.330 +/- 0.020","-1.599","Non-Exosome","0.929"
"A0FGR8-2","Isoform 2 of Extended synaptotagmin-2 ","ESYT2",282," 0.905 +/- 0.280","-0.144","0.398 +/- 0.058","-1.331","Non-Exosome","0.865"
"A5YKK6-2","Isoform 2 of CCR4-NOT transcription complex subunit 1 ","CNOT1",283," 1.535 +/- 0.725"," 0.618","1.067 +/- 0.997"," 0.093","Exosome","0.734"
"A6NCE7","Microtubule-associated proteins 1A/1B light chain 3 beta 2 ","MAP1LC3B2",284," 1.690 +/- 0.160"," 0.757","0.865 +/- 0.085","-0.209","Exosome","0.683"
"P19440-2","Isoform 2 of Gamma-glutamyltranspeptidase 1 ","GGT1",285," 2.045 +/- 0.345"," 1.032","1.145 +/- 0.175"," 0.195","Exosome","0.820"
"E7ET76","Gamma-glutamyltranspeptidase 1 light chain (Fragment) ","GGT1",286," 1.476 +/- 0.129"," 0.562","0.854 +/- 0.039","-0.227","Exosome","0.620"
"A6NGU5","Putative gamma-glutamyltranspeptidase 3 ","GGT3P",287," 1.359 +/- 0.246"," 0.443","0.754 +/- 0.061","-0.406","Exosome","0.515"
"E9PAV3-2","Isoform 2 of Nascent polypeptide-associated complex subunit alpha; muscle-specific form ","NACA",288," 0.584 +/- 0.254","-0.776","0.284 +/- 0.048","-1.819","Non-Exosome","0.921"
"O00116","Alkyldihydroxyacetonephosphate synthase; peroxisomal ","AGPS",289," 1.132 +/- 0.505"," 0.179","0.218 +/- 0.021","-2.197","Non-Exosome","0.784"
"O00139-1","Isoform 1 of Kinesin-like protein KIF2A ","KIF2A",290," 0.315 +/- 0.065","-1.667","0.390 +/- 0.110","-1.358","Non-Exosome","0.901"
"O00159-2","Isoform 2 of Unconventional myosin-Ic ","MYO1C",291," 0.980 +/- 0.165","-0.029","0.374 +/- 0.081","-1.419","Non-Exosome","0.850"
"O43795-2","Isoform 2 of Unconventional myosin-Ib ","MYO1B",292," 1.385 +/- 0.279"," 0.470","0.681 +/- 0.302","-0.553","Non-Exosome","0.529"
"Q70J99-3","Isoform 3 of Protein unc-13 homolog D ","UNC13D",293," 0.792 +/- 0.218","-0.336","0.765 +/- 0.225","-0.386","Non-Exosome","0.739"
"O00161-2","Isoform SNAP-23b of Synaptosomal-associated protein 23 ","SNAP23",294," 1.140 +/- 0.390"," 0.189","0.630 +/- 0.090","-0.667","Non-Exosome","0.671"
"O00170","AH receptor-interacting protein ","AIP",295," 0.235 +/- 0.095","-2.089","0.130 +/- 0.030","-2.943","Non-Exosome","0.769"
"O00203-3","Isoform 2 of AP-3 complex subunit beta-1 ","AP3B1",296," 0.428 +/- 0.118","-1.223","0.372 +/- 0.068","-1.428","Non-Exosome","0.925"
"O00231-2","Isoform 2 of 26S proteasome non-ATPase regulatory subunit 11 ","PSMD11",297," 0.693 +/- 0.139","-0.530","0.391 +/- 0.069","-1.356","Non-Exosome","0.909"
"O00264","Membrane-associated progesterone receptor component 1 ","PGRMC1",298," 0.295 +/- 0.015","-1.761","0.182 +/- 0.078","-2.461","Non-Exosome","0.865"
"O15173-2","Isoform 2 of Membrane-associated progesterone receptor component 2 ","PGRMC2",299," 0.348 +/- 0.148","-1.521","0.178 +/- 0.012","-2.487","Non-Exosome","0.877"
"O00299","Chloride intracellular channel protein 1 ","CLIC1",300," 0.854 +/- 0.091","-0.228","0.410 +/- 0.032","-1.285","Non-Exosome","0.875"
"Q9Y696","Chloride intracellular channel protein 4 ","CLIC4",301," 1.088 +/- 0.198"," 0.122","0.578 +/- 0.118","-0.790","Non-Exosome","0.728"
"O00330-3","Isoform 3 of Pyruvate dehydrogenase protein X component; mitochondrial ","PDHX",302," 0.252 +/- 0.042","-1.986","0.184 +/- 0.019","-2.444","Non-Exosome","0.845"
"O00429-2","Isoform 4 of Dynamin-1-like protein ","DNM1L",303," 0.534 +/- 0.086","-0.905","0.287 +/- 0.107","-1.801","Non-Exosome","0.925"
"O00468-2","Isoform 2 of Agrin ","AGRN",304," 1.174 +/- 0.039"," 0.231","0.415 +/- 0.228","-1.267","Non-Exosome","0.781"
"O00469-2","Isoform 2 of Procollagen-lysine;2-oxoglutarate 5-dioxygenase 2 ","PLOD2",305," 0.520 +/- 0.006","-0.944","0.271 +/- 0.111","-1.886","Non-Exosome","0.924"
"O00505","Importin subunit alpha-4 ","KPNA3",306," 0.512 +/- 0.108","-0.964","0.198 +/- 0.018","-2.340","Non-Exosome","0.896"
"O00541-2","Isoform 2 of Pescadillo homolog ","PES1",307," 0.512 +/- 0.008","-0.964","0.289 +/- 0.126","-1.790","Non-Exosome","0.927"
"O00560-2","Isoform 2 of Syntenin-1 ","SDCBP",308," 7.695 +/- 3.457"," 2.944","6.375 +/- 2.932"," 2.672","Exosome","0.859"
"O00560","Syntenin-1 ","SDCBP",309," 7.404 +/- 3.382"," 2.888","6.129 +/- 2.838"," 2.616","Exosome","0.861"
"O00567","Nucleolar protein 56 ","NOP56",310," 0.453 +/- 0.071","-1.142","0.255 +/- 0.055","-1.969","Non-Exosome","0.922"
"O00592-2","Isoform 2 of Podocalyxin ","PODXL",311," 0.590 +/- 0.014","-0.761","0.309 +/- 0.027","-1.696","Non-Exosome","0.923"
"O00743-2","Isoform 2 of Serine/threonine-protein phosphatase 6 catalytic subunit ","PPP6C",312," 0.345 +/- 0.035","-1.535","0.450 +/- 0.010","-1.152","Non-Exosome","0.900"
"O00762-2","Isoform 2 of Ubiquitin-conjugating enzyme E2 C ","UBE2C",313," 0.380 +/- 0.160","-1.396","0.320 +/- 0.090","-1.644","Non-Exosome","0.923"
"O14561","Acyl carrier protein; mitochondrial ","NDUFAB1",314," 0.397 +/- 0.089","-1.334","0.244 +/- 0.026","-2.035","Non-Exosome","0.916"
"O14617-5","Isoform 5 of AP-3 complex subunit delta-1 ","AP3D1",315," 1.512 +/- 0.352"," 0.596","0.533 +/- 0.183","-0.907","Non-Exosome","0.596"
"O14656","Torsin-1A ","TOR1A",316," 0.460 +/- 0.020","-1.120","0.280 +/- 0.050","-1.837","Non-Exosome","0.926"
"O14672","Disintegrin and metalloproteinase domain-containing protein 10 ","ADAM10",317," 1.272 +/- 0.278"," 0.347","0.961 +/- 0.014","-0.057","Exosome","0.609"
"C9JSX3","Protein arginine N-methyltransferase 5 (Fragment) ","PRMT5",318," 0.585 +/- 0.065","-0.773","0.369 +/- 0.039","-1.439","Non-Exosome","0.923"
"O14744","Protein arginine N-methyltransferase 5 ","PRMT5",319," 0.532 +/- 0.027","-0.911","0.291 +/- 0.000","-1.779","Non-Exosome","0.926"
