"Uniprot Accession","Gene Name","Description","Gene Ontology Classifications","SVM Classification"
"Q99808","SLC29A1","Equilibrative nucleoside transporter 1 ","GO:0005886 Plasma Membrane","Exosome"
"Q99848","EBNA1BP2","Probable rRNA-processing protein EBP2 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q99959-2","PKP2","Isoform 1 of Plakophilin-2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9BR76","CORO1B","Coronin-1B ","","Non-Exosome"
"Q9BTV4","TMEM43","Transmembrane protein 43 ","","Non-Exosome"
"Q9BVC6","TMEM109","Transmembrane protein 109 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane","Non-Exosome"
"Q9BVK2-2","ALG8","Isoform 2 of Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1;3-glucosyltransferase ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"Q9BVK6","TMED9","Transmembrane emp24 domain-containing protein 9 ","","Non-Exosome"
"Q9BVP2-2","GNL3","Isoform 2 of Guanine nucleotide-binding protein-like 3 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9BWT7","CARD10","Caspase recruitment domain-containing protein 10 ","","Exosome"
"Q9BZJ0-2","CRNKL1","Isoform 2 of Crooked neck-like protein 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9C0B5-2","ZDHHC5","Isoform 2 of Palmitoyltransferase ZDHHC5 ","","Non-Exosome"
"Q9H223","EHD4","EH domain-containing protein 4 ","","Non-Exosome"
"Q9H267","VPS33B","Vacuolar protein sorting-associated protein 33B ","GO:0031090 Organelle Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"Q9H2H9","SLC38A1","Sodium-coupled neutral amino acid transporter 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9H3Z4-2","DNAJC5","Isoform 2 of DnaJ homolog subfamily C member 5 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9H553-2","ALG2","Isoform 2 of Alpha-1;3/1;6-mannosyltransferase ALG2 ","","Non-Exosome"
"Q9H5Q4","TFB2M","Dimethyladenosine transferase 2; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"Q9H867-1","VCPKMT","Isoform 1 of Protein-lysine methyltransferase METTL21D ","","Non-Exosome"
"Q9H8M2-1","BRD9","Isoform 5 of Bromodomain-containing protein 9 ","","Exosome"
"Q9HCG8","CWC22","Pre-mRNA-splicing factor CWC22 homolog ","","Non-Exosome"
"Q9HCS7","XAB2","Pre-mRNA-splicing factor SYF1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9HD45","TM9SF3","Transmembrane 9 superfamily member 3 ","","Non-Exosome"
"Q9NR12-2","PDLIM7","Isoform 2 of PDZ and LIM domain protein 7 ","","Non-Exosome"
"Q9NRX2","MRPL17","39S ribosomal protein L17; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9NRX5","SERINC1","Serine incorporator 1 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"Q9NY12-2","GAR1","Isoform 2 of H/ACA ribonucleoprotein complex subunit 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9NYK5-2","MRPL39","Isoform 2 of 39S ribosomal protein L39; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"Q9NZ45","CISD1","CDGSH iron-sulfur domain-containing protein 1 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9P2B2","PTGFRN","Prostaglandin F2 receptor negative regulator ","","Exosome"
"Q9UGP8","SEC63","Translocation protein SEC63 homolog ","","Non-Exosome"
"Q9UGT4","SUSD2","Sushi domain-containing protein 2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9UIQ6-2","LNPEP","Isoform 2 of Leucyl-cystinyl aminopeptidase ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9UKD2","MRTO4","mRNA turnover protein 4 homolog ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9UKK3","PARP4","Poly [ADP-ribose] polymerase 4 ","","Non-Exosome"
"Q9UKK9","NUDT5","ADP-sugar pyrophosphatase ","","Non-Exosome"
"Q9ULC3","RAB23","Ras-related protein Rab-23 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9ULC4-2","MCTS1","Isoform 2 of Malignant T-cell-amplified sequence 1 ","","Non-Exosome"
"Q9UM54-1","MYO6","Isoform 1 of Unconventional myosin-VI ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"Q9Y2A7-2","NCKAP1","Isoform 2 of Nck-associated protein 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9Y2S6","TMA7","Translation machinery-associated protein 7 ","","Exosome"
"Q9Y2S7","POLDIP2","Polymerase delta-interacting protein 2 ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"Q9Y2Z0-2","SUGT1","Isoform 2 of Suppressor of G2 allele of SKP1 homolog ","","Non-Exosome"
"Q9Y376","CAB39","Calcium-binding protein 39 ","","Exosome"
"Q9Y3E5","PTRH2","Peptidyl-tRNA hydrolase 2; mitochondrial ","","Non-Exosome"
"Q9Y3T9","NOC2L","Nucleolar complex protein 2 homolog ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9Y5K6","CD2AP","CD2-associated protein ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005886 Plasma Membrane","Exosome"
"Q9Y5S9-2","RBM8A","Isoform 2 of RNA-binding protein 8A ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9Y5X1","SNX9","Sorting nexin-9 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9Y617-2","PSAT1","Isoform 2 of Phosphoserine aminotransferase ","","Non-Exosome"
"Q9Y6K0","CEPT1","Choline/ethanolaminephosphotransferase 1 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"A0AVT1","UBA6","Ubiquitin-like modifier-activating enzyme 6 ","","Non-Exosome"
"A0FGR8-2","ESYT2","Isoform 2 of Extended synaptotagmin-2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"A5YKK6-2","CNOT1","Isoform 2 of CCR4-NOT transcription complex subunit 1 ","","Exosome"
"A6NCE7","MAP1LC3B2","Microtubule-associated proteins 1A/1B light chain 3 beta 2 ","","Exosome"
"P19440-2","GGT1","Isoform 2 of Gamma-glutamyltranspeptidase 1 ","","Exosome"
"E7ET76","GGT1","Gamma-glutamyltranspeptidase 1 light chain (Fragment) ","","Exosome"
"A6NGU5","GGT3P","Putative gamma-glutamyltranspeptidase 3 ","","Non-Exosome"
"E9PAV3-2","NACA","Isoform 2 of Nascent polypeptide-associated complex subunit alpha; muscle-specific form ","","Non-Exosome"
"O00116","AGPS","Alkyldihydroxyacetonephosphate synthase; peroxisomal ","GO:0031090 Organelle Membrane","Non-Exosome"
"O00139-1","KIF2A","Isoform 1 of Kinesin-like protein KIF2A ","","Non-Exosome"
"O00159-2","MYO1C","Isoform 2 of Unconventional myosin-Ic ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005886 Plasma Membrane","Non-Exosome"
"O43795-2","MYO1B","Isoform 2 of Unconventional myosin-Ib ","","Non-Exosome"
"Q70J99-3","UNC13D","Isoform 3 of Protein unc-13 homolog D ","","Non-Exosome"
"O00161-2","SNAP23","Isoform SNAP-23b of Synaptosomal-associated protein 23 ","GO:0005886 Plasma Membrane","Non-Exosome"
"O00170","AIP","AH receptor-interacting protein ","GO:0005829 Cytosol","Non-Exosome"
"O00203-3","AP3B1","Isoform 2 of AP-3 complex subunit beta-1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"O00231-2","PSMD11","Isoform 2 of 26S proteasome non-ATPase regulatory subunit 11 ","GO:0005829 Cytosol","Non-Exosome"
"O00264","PGRMC1","Membrane-associated progesterone receptor component 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"O15173-2","PGRMC2","Isoform 2 of Membrane-associated progesterone receptor component 2 ","","Non-Exosome"
"O00299","CLIC1","Chloride intracellular channel protein 1 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"Q9Y696","CLIC4","Chloride intracellular channel protein 4 ","GO:0005886 Plasma Membrane","Non-Exosome"
"O00330-3","PDHX","Isoform 3 of Pyruvate dehydrogenase protein X component; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"O00429-2","DNM1L","Isoform 4 of Dynamin-1-like protein ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005829 Cytosol","Non-Exosome"
"O00468-2","AGRN","Isoform 2 of Agrin ","GO:0031012 Extracellular Matrix","Non-Exosome"
"O00469-2","PLOD2","Isoform 2 of Procollagen-lysine;2-oxoglutarate 5-dioxygenase 2 ","","Non-Exosome"
"O00505","KPNA3","Importin subunit alpha-4 ","","Non-Exosome"
"O00541-2","PES1","Isoform 2 of Pescadillo homolog ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"O00560-2","SDCBP","Isoform 2 of Syntenin-1 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Exosome"
"O00560","SDCBP","Syntenin-1 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Exosome"
"O00567","NOP56","Nucleolar protein 56 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"O00592-2","PODXL","Isoform 2 of Podocalyxin ","GO:0005886 Plasma Membrane","Non-Exosome"
"O00743-2","PPP6C","Isoform 2 of Serine/threonine-protein phosphatase 6 catalytic subunit ","GO:0005829 Cytosol","Non-Exosome"
"O00762-2","UBE2C","Isoform 2 of Ubiquitin-conjugating enzyme E2 C ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"O14561","NDUFAB1","Acyl carrier protein; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"O14617-5","AP3D1","Isoform 5 of AP-3 complex subunit delta-1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"O14656","TOR1A","Torsin-1A ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen; GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane","Non-Exosome"
"O14672","ADAM10","Disintegrin and metalloproteinase domain-containing protein 10 ","GO:0005886 Plasma Membrane","Exosome"
"C9JSX3","PRMT5","Protein arginine N-methyltransferase 5 (Fragment) ","","Non-Exosome"
"O14744","PRMT5","Protein arginine N-methyltransferase 5 ","","Non-Exosome"
"O14745","SLC9A3R1","Na(+)/H(+) exchange regulatory cofactor NHE-RF1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"O14786","NRP1","Neuropilin-1 ","GO:0005886 Plasma Membrane","Exosome"
"O14817","TSPAN4","Tetraspanin-4 ","GO:0005886 Plasma Membrane","Exosome"
"O14818-2","PSMA7","Isoform 2 of Proteasome subunit alpha type-7 ","GO:0005829 Cytosol","Non-Exosome"
"O14828","SCAMP3","Secretory carrier-associated membrane protein 3 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane","Exosome"
"O14950","MYL12B","Myosin regulatory light chain 12B ","","Non-Exosome"
"O14964-2","HGS","Isoform 2 of Hepatocyte growth factor-regulated tyrosine kinase substrate ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"Q96GD4-4","AURKB","Isoform 4 of Aurora kinase B ","","Exosome"
"O14965","AURKA","Aurora kinase A ","","Exosome"
"O14980","XPO1","Exportin-1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P25205","MCM3","DNA replication licensing factor MCM3 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"O15031","PLXNB2","Plexin-B2 ","","Non-Exosome"
"O15067","PFAS","Phosphoribosylformylglycinamidine synthase ","","Non-Exosome"
"O15118","NPC1","Niemann-Pick C1 protein ","GO:0005886 Plasma Membrane","Non-Exosome"
"O15143","ARPC1B","Actin-related protein 2/3 complex subunit 1B ","","Exosome"
"O15144","ARPC2","Actin-related protein 2/3 complex subunit 2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"O15162-2","PLSCR1","Isoform 2 of Phospholipid scramblase 1 ","GO:0005886 Plasma Membrane","Exosome"
"O15212","PFDN6","Prefoldin subunit 6 ","GO:0005829 Cytosol","Non-Exosome"
"O15230","LAMA5","Laminin subunit alpha-5 ","GO:0031012 Extracellular Matrix","Non-Exosome"
"O15355","PPM1G","Protein phosphatase 1G ","","Non-Exosome"
"O15371","EIF3D","Eukaryotic translation initiation factor 3 subunit D ","GO:0005829 Cytosol","Non-Exosome"
"O15033-2","AREL1","Isoform 2 of Apoptosis-resistant E3 ubiquitin protein ligase 1 ","","Non-Exosome"
"O15427","SLC16A3","Monocarboxylate transporter 4 ","GO:0005886 Plasma Membrane","Exosome"
"O15498","YKT6","Synaptobrevin homolog YKT6 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"O15511-2","ARPC5","Isoform 2 of Actin-related protein 2/3 complex subunit 5 ","","Non-Exosome"
"O15533-2","TAPBP","Isoform 2 of Tapasin ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"O43143","DHX15","Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 ","","Exosome"
"O43169","CYB5B","Cytochrome b5 type B ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"O43242","PSMD3","26S proteasome non-ATPase regulatory subunit 3 ","GO:0005829 Cytosol","Non-Exosome"
"O43324-2","EEF1E1","Isoform 2 of Eukaryotic translation elongation factor 1 epsilon-1 ","GO:0005829 Cytosol","Non-Exosome"
"O43399-5","TPD52L2","Isoform 5 of Tumor protein D54 ","","Non-Exosome"
"O43491","EPB41L2","Band 4.1-like protein 2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"O43615","TIMM44","Mitochondrial import inner membrane translocase subunit TIM44 ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"O43617","TRAPPC3","Trafficking protein particle complex subunit 3 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005829 Cytosol","Non-Exosome"
"O43633","CHMP2A","Charged multivesicular body protein 2a ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Exosome"
"O43681","ASNA1","ATPase ASNA1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"O43684-2","BUB3","Isoform 2 of Mitotic checkpoint protein BUB3 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P35609-2","ACTN2","Isoform 2 of Alpha-actinin-2 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005886 Plasma Membrane","Non-Exosome"
"P12814-4","ACTN1","Isoform 4 of Alpha-actinin-1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005886 Plasma Membrane","Non-Exosome"
"O43707","ACTN4","Alpha-actinin-4 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P12814-3","ACTN1","Isoform 3 of Alpha-actinin-1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005886 Plasma Membrane","Non-Exosome"
"O43719","HTATSF1","HIV Tat-specific factor 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"A8MWL6","","Putative synaptogyrin-2 like protein ","","Non-Exosome"
"O43760","SYNGR2","Synaptogyrin-2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"O43809","NUDT21","Cleavage and polyadenylation specificity factor subunit 5 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"O43837","IDH3B","Isocitrate dehydrogenase [NAD] subunit beta; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"O43852-2","CALU","Isoform 2 of Calumenin ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen","Non-Exosome"
"O43852-3","CALU","Isoform 3 of Calumenin ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen","Non-Exosome"
"O43865","AHCYL1","Putative adenosylhomocysteinase 2 ","","Non-Exosome"
"O43920","NDUFS5","NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P28370-2","SMARCA1","Isoform 2 of Probable global transcription activator SNF2L1 ","","Non-Exosome"
"O60264","SMARCA5","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P35270","SPR","Sepiapterin reductase ","","Non-Exosome"
"O60306","AQR","Intron-binding protein aquarius ","","Non-Exosome"
"O60493-4","SNX3","Isoform 4 of Sorting nexin-3 ","","Non-Exosome"
"Q9UMY4-3","SNX12","Isoform 3 of Sorting nexin-12 ","","Non-Exosome"
"Q9UMY4-2","SNX12","Isoform 2 of Sorting nexin-12 ","","Non-Exosome"
"O60493","SNX3","Sorting nexin-3 ","","Non-Exosome"
"O43390-2","HNRNPR","Isoform 2 of Heterogeneous nuclear ribonucleoprotein R ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"O60506-3","SYNCRIP","Isoform 3 of Heterogeneous nuclear ribonucleoprotein Q ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"O60568","PLOD3","Procollagen-lysine;2-oxoglutarate 5-dioxygenase 3 ","","Non-Exosome"
"O60610-2","DIAPH1","Isoform 2 of Protein diaphanous homolog 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"O60664-3","PLIN3","Isoform 3 of Perilipin-3 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P52294","KPNA1","Importin subunit alpha-5 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"O60684","KPNA6","Importin subunit alpha-7 ","","Non-Exosome"
"O60716-10","CTNND1","Isoform 2AB of Catenin delta-1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"O60762","DPM1","Dolichol-phosphate mannosyltransferase subunit 1 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"O60763-2","USO1","Isoform 2 of General vesicular transport factor p115 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005829 Cytosol","Non-Exosome"
"O60814","HIST1H2BK","Histone H2B type 1-K ","","Non-Exosome"
"P06899","HIST1H2BJ","Histone H2B type 1-J ","","Non-Exosome"
"O60832","DKC1","H/ACA ribonucleoprotein complex subunit 4 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"O60884","DNAJA2","DnaJ homolog subfamily A member 2 ","","Non-Exosome"
"O75054","IGSF3","Immunoglobulin superfamily member 3 ","","Exosome"
"O75083","WDR1","WD repeat-containing protein 1 ","GO:0005829 Cytosol","Non-Exosome"
"O75165","DNAJC13","DnaJ homolog subfamily C member 13 ","","Non-Exosome"
"O75190-2","DNAJB6","Isoform B of DnaJ homolog subfamily B member 6 ","","Non-Exosome"
"O75190","DNAJB6","DnaJ homolog subfamily B member 6 ","","Non-Exosome"
"O75197","LRP5","Low-density lipoprotein receptor-related protein 5 ","","Exosome"
"O75306-2","NDUFS2","Isoform 2 of NADH dehydrogenase [ubiquinone] iron-sulfur protein 2; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"O75340","PDCD6","Programmed cell death protein 6 ","","Non-Exosome"
"O75351","VPS4B","Vacuolar protein sorting-associated protein 4B ","GO:0031090 Organelle Membrane; GO:0010008 Endosome Membrane; GO:0005829 Cytosol","Non-Exosome"
"Q9UN37","VPS4A","Vacuolar protein sorting-associated protein 4A ","GO:0031090 Organelle Membrane; GO:0010008 Endosome Membrane","Non-Exosome"
"O75367-2","H2AFY","Isoform 1 of Core histone macro-H2A.1 ","","Non-Exosome"
"O75369-8","FLNB","Isoform 8 of Filamin-B ","","Non-Exosome"
"P21333-2","FLNA","Isoform 2 of Filamin-A ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"Q14315-2","FLNC","Isoform 2 of Filamin-C ","GO:0005886 Plasma Membrane","Non-Exosome"
"O75381-2","PEX14","Isoform 2 of Peroxisomal membrane protein PEX14 ","GO:0031090 Organelle Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"F8W031","","Uncharacterized protein (Fragment) ","","Non-Exosome"
"H0YIC4","CS","Citrate synthase (Fragment) ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"O75390","CS","Citrate synthase; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"Q9Y2B0","CNPY2","Protein canopy homolog 2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"O75400-2","PRPF40A","Isoform 2 of Pre-mRNA-processing factor 40 homolog A ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
